REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;140 - L82-TRAIRI(SEDE)-D2-GUALDRAPAS;630;PARA TY - TRAIRI;30 dias Boleto;-;2; R$ 2.746,50 ; R$ 1.373,25 ;28,34%; R$ 20.774,23 ;MÁXIMO (ACIMA DE R$ 200; R$ 961,46 ;-3.2772701;-39.2668701
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;631;MIRELLY - PRQ SANTA ROSA;21 dias Boleto;-;1; R$ 1.962,20 ; R$ 1.962,20 ;20,60%; R$ 9.436,58 ;MÁXIMO (ACIMA DE R$ 200; R$ 740,78 ;-3.819396;-38.592429
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;646;ANALI - GRANJA LISBOA;21 dias Boleto;NEGOCIAÇÃO;0; R$ -   ; R$ -   ;6,38%; R$ 2.261,67 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.7873709;-38.6241432
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;130 - L81 - AUTO SERVICO 4;658;BRASILEIRO - RODOLFO TEOFILO;28 dias Boleto                                    ;-;2; R$ 3.878,71 ; R$ 1.939,36 ;14,42%; R$ 11.265,14 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.272,78 ;-3.7466444;-38.5504395
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;357 - L81 - AS - CENTERBOX 2;663;CENTERBOX - JOAO XXIII;30 dias Boleto;-;3; R$ 4.555,82 ; R$ 1.518,61 ;20,76%; R$ 21.293,08 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.419,09 ;-3.77289;-38.5882422
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;669;MERCANTIL O DEIRTON;14 dias Boleto;-;4; R$ 11.316,49 ; R$ 2.829,12 ;33,48%; R$ 75.242,50 ;MÁXIMO (ACIMA DE R$ 200; R$ 4.260,38 ;-3.6843148;-39.5820915
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;130 - L81 - AUTO SERVICO 4;677;SUPER UCHOA - LJ 01;21 dias Boleto;-;1; R$ 709,87 ; R$ 709,87 ;13,46%; R$ 2.072,68 ;MÁXIMO (ACIMA DE R$ 200; R$ 122,10 ;-3.7541549;-38.5454548
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;678;MERCADINHO O BATISTA;A vista  + 10 dias;-;1; R$ 283,67 ; R$ 283,67 ;45,41%; R$ 2.018,50 ;MÁXIMO (ACIMA DE R$ 200; R$ 136,63 ;-3.6932221;-39.6021314
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;694;MERCANTIL MENOR PRECO;A vista  + 10 dias;-;4; R$ 3.404,76 ; R$ 851,19 ;40,16%; R$ 28.235,66 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.486,83 ;-3.684041;-39.5844617
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;695;MERCANTIL O LEGAL;A vista  + 10 dias;-;1; R$ 166,10 ; R$ 166,10 ;46,20%; R$ 1.409,85 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 87,23 ;-3.7492998;-39.7840442
