REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4009;PAO DE ACUCAR - CENTER UM (1209);Transferencia 45 dias;-;3; R$ 2.715,58 ; R$ 905,19 ;18,92%; R$ 11.615,17 ;MÁXIMO (ACIMA DE R$ 200; R$ 563,83 ;-3.7373679;-38.4974441
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA IVONE DE ARAUJO;294 - L82-GUARACIABA DO NORTE-AUTO SERVICO;4013;VAREJAO CHOCOBALAS - GUARACIABA;30 dias Boleto;-;2; R$ 2.501,55 ; R$ 1.250,78 ;23,06%; R$ 39.028,55 ;MÁXIMO (ACIMA DE R$ 200; R$ 827,48 ;-4.1583373;-40.7515818
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;267 - L82-SOBRAL-APRAZIVEL;4015;MERCADINHO VILBERTO;A vista  + 10 dias;-;2; R$ 417,57 ; R$ 208,78 ;38,04%; R$ 3.373,75 ;MÁXIMO (ACIMA DE R$ 200; R$ 181,92 ;-3.7559959;-40.5554829
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;PAMELA MARTINS GONCALVES;150 - L81 - AUTO SERVICO 6;4028;LAREDO - MESSEJANA;21 dias Boleto;-;2; R$ 3.129,51 ; R$ 1.564,75 ;21,88%; R$ 15.801,25 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.089,60 ;-3.8298139;-38.4907932
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;390 - L81 - AS - COMETA 3;4029;COMETA (TIBURCIO CAVALCANTE);Transferencia 50 dias;-;2; R$ 8.965,70 ; R$ 4.482,85 ;13,47%; R$ 17.795,56 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.793,19 ;-3.7411822;-38.5041525
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;269 - L82-COREAU-UBAUNA;4047;MERCADINHO ANTONIO LEO;7 dias Boleto;-;1; R$ 166,90 ; R$ 166,90 ;39,01%; R$ 1.419,22 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 85,19 ;-3.74533;-40.6933321
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;PAMELA MARTINS GONCALVES;150 - L81 - AUTO SERVICO 6;4057;OFERTASSO - JOSE WALTER;30 dias Boleto;-;3; R$ 3.287,04 ; R$ 1.095,68 ;4,25%; R$ 1.154,29 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.216,49 ;-3.83330121;-38.55298266
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;4064;MERCANTIL ZE GOMES;A vista  + 10 dias;-;4; R$ 1.734,03 ; R$ 433,51 ;41,30%; R$ 13.466,96 ;MÁXIMO (ACIMA DE R$ 200; R$ 794,12 ;-3.6843634;-39.5852656
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;131 - L81 - PEQUENO VAREJO 4;4067;MERCANTIL AZEVEDO;14 dias Boleto;-;2; R$ 1.231,28 ; R$ 615,64 ;35,50%; R$ 5.422,46 ;MÁXIMO (ACIMA DE R$ 200; R$ 504,11 ;-3.7188623;-38.6057626
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;230 - L82-SANTANA ACARAU-SEDE ;4082;ESQUINA DAS FRUTAS;7 dias Boleto;-;1; R$ 146,70 ; R$ 146,70 ;35,44%; R$ 650,35 ;MÍNIMO (R$ 130 À R$ 150); R$ 69,63 ;-3.4630951;-40.2088281
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;4089;COMPREMAX - METROPOLE;30 dias Boleto;-;3; R$ 2.708,13 ; R$ 902,71 ;12,58%; R$ 6.936,95 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.015,37 ;-3.7666193;-38.6538536
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;120 - L82-S.LUIS CURU-SEDE;4093;MERC SANTO ANTONIO;A vista  + 10 dias;-;1; R$ 186,37 ; R$ 186,37 ;35,10%; R$ 614,79 ;REGULAR (R$ 180 À R$ 200); R$ 83,07 ;-3.669965;-39.2387814
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;208 - L82-ACARAU-DIST. ARANAU ;4094;COMERCIAL BOM PRECO;21 dias Boleto;SIM;0; R$ -   ; R$ -   ;20,59%; R$ 2.100,45 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-2.8222411;-40.2247312
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4111;PAO DE ACUCAR - FATIMA (0255);Transferencia 45 dias;-;4; R$ 1.906,17 ; R$ 476,54 ;19,20%; R$ 9.390,90 ;MÁXIMO (ACIMA DE R$ 200; R$ 433,48 ;-3.746476;-38.5313805
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;111 - L81 - PEQUENO VAREJO 2;4119;MERC SAO JOAO;14 dias Boleto;-;1; R$ 531,33 ; R$ 531,33 ;32,08%; R$ 4.068,24 ;MÁXIMO (ACIMA DE R$ 200; R$ 249,46 ;-3.81089439;-38.62849329
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;275 - L82-TIANGUA-SEDE ;4128;SUPERMERCADO FERNANDO - LIONS CLUB;14 dias Boleto;NEGOCIAÇÃO;0; R$ -   ; R$ -   ;12,92%; R$ 770,44 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.7205493;-40.9897329
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;LUCAS DE LIMA SILVA;585 - L82-ITAPIUNA-SEDE;4132;ITA MERCANTIL;21 dias Boleto;-;2; R$ 1.107,60 ; R$ 553,80 ;32,83%; R$ 1.900,26 ;MÁXIMO (ACIMA DE R$ 200; R$ 443,45 ;-4.56293982;-38.92263067
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO JUNIOR LOURENCO BARBOSA;725 - L82-QUIXADA-SEDE ;4133;SAO GERALDO - MATRIZ;21 dias Boleto;-;2; R$ 797,86 ; R$ 398,93 ;4,19%; R$ 2.532,67 ;MÁXIMO (ACIMA DE R$ 200; R$ 250,31 ;-4.9687285;-39.016988
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;240 - L82-CRUZ-PREA;4134;MERC VALMIR;A vista  + 10 dias;-;1; R$ 187,96 ; R$ 187,96 ;30,43%; R$ 1.477,60 ;REGULAR (R$ 180 À R$ 200); R$ 59,26 ;-2.8164648;-40.4080787
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;RICARDO DE SOUSA LIMA;121 - L81 - PEQUENO VAREJO 3;4137;PANIFICADORA RAFAELLY;14 dias Boleto;-;2; R$ 777,78 ; R$ 388,89 ;27,66%; R$ 2.345,80 ;MÁXIMO (ACIMA DE R$ 200; R$ 265,56 ;-3.881963;-38.6188955
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4141;PAO DE ACUCAR - NAUTICO (1004);Transferencia 45 dias;-;4; R$ 4.102,11 ; R$ 1.025,53 ;17,70%; R$ 16.309,78 ;MÁXIMO (ACIMA DE R$ 200; R$ 857,60 ;-3.7274751;-38.4937798
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO JUNIOR LOURENCO BARBOSA;725 - L82-QUIXADA-SEDE ;4148;SAO GERALDO - ALTO;21 dias Boleto;-;2; R$ 757,44 ; R$ 378,72 ;22,49%; R$ 8.265,00 ;MÁXIMO (ACIMA DE R$ 200; R$ 238,36 ;-4.9687101;-39.0100215
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;LUCAS DE LIMA SILVA;515 - L82-BARREIRA-SEDE;4150;MERCANTIL ARIMATEIA;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;44,02%; R$ 2.556,10 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.2878179;-38.639048
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO JUNIOR LOURENCO BARBOSA;725 - L82-QUIXADA-SEDE ;4157;SAO GERALDO - HERVAL;21 dias Boleto;-;1; R$ 382,98 ; R$ 382,98 ;22,78%; R$ 5.964,39 ;MÁXIMO (ACIMA DE R$ 200; R$ 124,57 ;-4.9665749;-39.016231
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;120 - L82-S.LUIS CURU-SEDE;4168;MERC E PADARIA JUNIOR;7 dias Boleto;-;1; R$ 337,87 ; R$ 337,87 ;23,83%; R$ 1.404,56 ;MÁXIMO (ACIMA DE R$ 200; R$ 105,68 ;-3.6735218;-39.2345364
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;301 - L82-CANINDE-SEDE ;4169;MERCADINHO BELA VISTA;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;44,91%; R$ 1.171,10 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.3461438;-39.3093746
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;240 - L82-CRUZ-PREA;4188;MERC ISMARQUE;A vista  + 10 dias;-;1; R$ 129,31 ; R$ 129,31 ;37,36%; R$ 735,93 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ 59,57 ;-2.8588646;-40.412175
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;131 - L81 - PEQUENO VAREJO 4;4196;MERCANTIL AZEVEDO;7 dias Boleto;-;1; R$ 208,34 ; R$ 208,34 ;29,87%; R$ 1.139,30 ;MÁXIMO (ACIMA DE R$ 200; R$ 94,04 ;-3.7197075;-38.5576325
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4197;PAO DE ACUCAR - SANTOS DUMONT (1220);Transferencia 45 dias;-;5; R$ 4.329,53 ; R$ 865,91 ;16,64%; R$ 15.442,48 ;MÁXIMO (ACIMA DE R$ 200; R$ 836,38 ;-3.7306636;-38.5131575
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;353 - L81 - AS - CENTERBOX 1;4202;CENTERBOX - JD IRACEMA;30 dias Boleto;-;3; R$ 4.309,81 ; R$ 1.436,60 ;16,46%; R$ 12.284,35 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.390,89 ;-3.71767679;-38.57899347
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;208 - L82-ACARAU-DIST. ARANAU ;4206;MK MERCANTIL - ARANAU;14 dias Boleto;-;2; R$ 1.817,45 ; R$ 908,73 ;23,74%; R$ 10.200,61 ;MÁXIMO (ACIMA DE R$ 200; R$ 642,50 ;-2.8228163;-40.2232476
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;135 - L82-TURURU-SEDE;4214;MERCADINHO MENDONCA;14 dias Boleto;-;2; R$ 858,40 ; R$ 429,20 ;26,05%; R$ 3.812,04 ;MÁXIMO (ACIMA DE R$ 200; R$ 377,93 ;-3.5991557;-39.4351157
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;4220;MERCANTIL FEIRA DO POVO;7 dias Boleto;-;1; R$ 146,10 ; R$ 146,10 ;39,76%; R$ 995,30 ;MÍNIMO (R$ 130 À R$ 150); R$ 75,91 ;-3.7394136;-38.61972
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4221;PAO DE ACUCAR - BEZERRA DE MENEZES (2375);Transferencia 45 dias;-;4; R$ 2.821,76 ; R$ 705,44 ;18,53%; R$ 12.430,36 ;MÁXIMO (ACIMA DE R$ 200; R$ 606,01 ;-3.7335995;-38.5586262
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;120 - L82-S.LUIS CURU-SEDE;4223;EMPORIO CENTRAL;A vista  + 10 dias;-;1; R$ 1.095,80 ; R$ 1.095,80 ;37,59%; R$ 11.134,71 ;MÁXIMO (ACIMA DE R$ 200; R$ 465,25 ;-3.6712194;-39.2356275
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;130 - L81 - AUTO SERVICO 4;4227;ANALI - PANAMERICANO;21 dias Boleto;NEGOCIAÇÃO;0; R$ -   ; R$ -   ;13,95%; R$ 6.952,40 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.755808;-38.5661829
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;210 - L82-CRUZ-SEDE;4230;MERCANFRIOS O FERNANDO;21 dias Boleto;-;2; R$ 2.498,58 ; R$ 1.249,29 ;28,92%; R$ 12.403,69 ;MÁXIMO (ACIMA DE R$ 200; R$ 887,95 ;-2.9177658;-40.1741602
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;4240;MANGUEIRA GRILL;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;0,00%; R$ -   ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.127038;-40.084479
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;153 - L82-SGA-DISTRITOS;4246;NT MERCADINHO;A vista  + 10 dias;-;2; R$ 355,05 ; R$ 177,53 ;44,05%; R$ 2.543,15 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 174,45 ;-3.5253973;-39.0706166
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;125 - L82-UMIRIM-SEDE;4249;MERC PINHEIRO NETO;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;33,25%; R$ 1.107,00 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.6791176;-39.3488202
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;299 - L82-CARIRE-SEDE;4257;MERCANTIL MUNDIAL;A vista  + 10 dias;-;1; R$ 159,40 ; R$ 159,40 ;43,07%; R$ 1.045,75 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 79,84 ;-3.9552751;-40.479347
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;295 - L82-GUARACIABA DO NORTE-SEDE;4258;TUTI FRIOS;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;32,40%; R$ 1.456,92 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.1643375;-40.7499188
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;206 - L82-ACARAU-AUTO SERVICO ;4270;ATACADAO DO VALE - ACARAU;14 dias Boleto;-;4; R$ 22.086,29 ; R$ 5.521,57 ;21,79%; R$ 87.600,60 ;MÁXIMO (ACIMA DE R$ 200; R$ 6.703,64 ;-2.8805732;-40.1197128
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4271;PAO DE ACUCAR - COCO (1253);Transferencia 45 dias;-;3; R$ 1.753,08 ; R$ 584,36 ;17,99%; R$ 8.401,18 ;MÁXIMO (ACIMA DE R$ 200; R$ 387,44 ;-3.7430401;-38.4859163
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;FABRICIO GALDENCIO BRAGA;141 - L81 - PEQUENO VAREJO 5;4272;MERCEARIA PADRE CICERO ITAPERI;7 dias Boleto;-;1; R$ 331,12 ; R$ 331,12 ;25,07%; R$ 664,53 ;MÁXIMO (ACIMA DE R$ 200; R$ 95,01 ;-3.8131261;-38.5610963
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;235 - L82-JIJOCA JERICOACOARA ;4276;COMERCIO MUNDIAL - JIJOCA;21 dias Boleto;-;2; R$ 1.880,04 ; R$ 940,02 ;25,97%; R$ 11.925,88 ;MÁXIMO (ACIMA DE R$ 200; R$ 740,67 ;-2.8965462;-40.4514937
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;235 - L82-JIJOCA JERICOACOARA ;4280;PANIFICADORA NOVA JIJOCA;14 dias Boleto;-;2; R$ 959,50 ; R$ 479,75 ;31,16%; R$ 4.704,35 ;MÁXIMO (ACIMA DE R$ 200; R$ 352,72 ;-2.8972593;-40.4497853
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;352 - L81 - AS - GPA ;4284;PAO DE ACUCAR - LUCIANO CAVALCANTE (2374);Transferencia 45 dias;-;6; R$ 2.063,10 ; R$ 343,85 ;18,73%; R$ 8.588,31 ;MÁXIMO (ACIMA DE R$ 200; R$ 465,51 ;-3.772043;-38.4828363
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;277 - L82-VICOSA DO CEARA-SEDE;4290;MERC SAO TOME;7 dias Boleto;-;1; R$ 478,69 ; R$ 478,69 ;28,49%; R$ 1.942,47 ;MÁXIMO (ACIMA DE R$ 200; R$ 189,73 ;-3.5676347;-41.0911185
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;353 - L81 - AS - CENTERBOX 1;4293;CENTERBOX - CAUCAIA;30 dias Boleto;-;3; R$ 4.784,35 ; R$ 1.594,78 ;22,45%; R$ 24.331,36 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.499,74 ;-3.7347353;-38.6595839
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;4296;MERCANTIL SERVE BEM;A vista;SIM;0; R$ -   ; R$ -   ;37,09%; R$ 494,20 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.7654476;-38.6541599
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;280 - L82-UBAJARA-SEDE ;4306;SUPERMERCADO POPULAR;14 dias Boleto;-;1; R$ 595,09 ; R$ 595,09 ;23,38%; R$ 3.249,63 ;MÁXIMO (ACIMA DE R$ 200; R$ 160,95 ;-3.8540315;-40.9207148
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;240 - L82-CRUZ-PREA;4309;COMERCIO MUNDIAL - CRUZ;14 dias Boleto;-;1; R$ 946,30 ; R$ 946,30 ;23,43%; R$ 6.791,80 ;MÁXIMO (ACIMA DE R$ 200; R$ 330,53 ;-2.8125804;-40.4162946
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;230 - L82-SANTANA ACARAU-SEDE ;4315;MERC SAO JOSE;7 dias Boleto;-;2; R$ 360,57 ; R$ 180,28 ;37,22%; R$ 3.187,06 ;REGULAR (R$ 180 À R$ 200); R$ 166,20 ;-3.4570399;-40.21139
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;299 - L82-CARIRE-SEDE;4328;CANTINHO DA NEGA;A vista  + 10 dias;-;1; R$ 131,20 ; R$ 131,20 ;27,88%; R$ 331,68 ;MÍNIMO (R$ 130 À R$ 150); R$ 50,67 ;-3.9557613;-40.4778154
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;4339;RAIMUNDO MOTA PEREIRA;7 dias Boleto;-;1; R$ 303,53 ; R$ 303,53 ;48,71%; R$ 2.332,50 ;MÁXIMO (ACIMA DE R$ 200; R$ 155,57 ;-3.677192;-39.5911994
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;292 - L82-CARNAUBAL-SEDE ;4341;ENCONTRO DOS AMIGOS;A vista  + 10 dias;-;2; R$ 886,11 ; R$ 443,05 ;11,87%; R$ 1.539,99 ;MÁXIMO (ACIMA DE R$ 200; R$ 181,55 ;-4.1661997;-40.9372922
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;305 - L82-CANINDE-AUTO SERVICO;4342;JB SUPERMERCADO - CAPITAO P. SAMPAIO;21 dias Boleto;NEGOCIAÇÃO;0; R$ -   ; R$ -   ;24,65%; R$ 4.239,29 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.3550761;-39.3242857
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;200 - L82-ITAREMA-SEDE ;4354;MERC UNIAO;A vista  + 10 dias;-;2; R$ 309,70 ; R$ 154,85 ;22,36%; R$ 2.253,76 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 145,45 ;-2.9237703;-39.9116592
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;4381;COMPREMAX - OFERTAO MAX;30 dias Boleto;-;3; R$ 6.468,08 ; R$ 2.156,03 ;14,93%; R$ 19.276,12 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.335,46 ;-3.72905976;-38.65588134
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;354 - L81 - AS - COMETA 1;4393;COMETA (PE ANTONIO TOMAS);Transferencia 50 dias;-;2; R$ 3.142,84 ; R$ 1.571,42 ;11,43%; R$ 6.133,83 ;MÁXIMO (ACIMA DE R$ 200; R$ 975,78 ;-3.7411919;-38.4958533
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;4396;ROSANGELA SANTOS FERREIRA CAMARA;14 dias Boleto;-;2; R$ 913,53 ; R$ 456,76 ;22,92%; R$ 2.630,67 ;MÁXIMO (ACIMA DE R$ 200; R$ 188,02 ;-3.7388981;-38.6193975
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;130 - L82-URUBURETAMA-SEDE;4403;BOM FRANGO;7 dias Boleto;-;1; R$ 255,57 ; R$ 255,57 ;39,58%; R$ 3.785,96 ;MÁXIMO (ACIMA DE R$ 200; R$ 116,81 ;-3.623667;-39.5006896
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;270 - L82-FRECHEIRINHA-SEDE ;4404;MERCANTIL BOM PRECO;A vista  + 10 dias;-;1; R$ 131,05 ; R$ 131,05 ;34,05%; R$ 395,22 ;MÍNIMO (R$ 130 À R$ 150); R$ 42,98 ;-3.7598882;-40.8138289
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;215 - L82-BELA CRUZ-SEDE ;4412;COMERCIAL O MOISES;21 dias Boleto;-;2; R$ 1.233,28 ; R$ 616,64 ;27,88%; R$ 6.945,75 ;MÁXIMO (ACIMA DE R$ 200; R$ 399,92 ;-3.0592586;-40.1653967
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;277 - L82-VICOSA DO CEARA-SEDE;4416;MERC ONOFRE;14 dias Boleto;-;2; R$ 1.112,80 ; R$ 556,40 ;33,05%; R$ 8.684,45 ;MÁXIMO (ACIMA DE R$ 200; R$ 497,81 ;-3.5675937;-41.0905354
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;270 - L82-FRECHEIRINHA-SEDE ;4424;PADARIA DIVINA PADOCA;7 dias Boleto;-;1; R$ 155,97 ; R$ 155,97 ;40,96%; R$ 1.117,73 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 78,10 ;-3.7590972;-40.8108468
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;277 - L82-VICOSA DO CEARA-SEDE;4426;PAO DA VIDA LANCHES;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;27,29%; R$ 1.615,15 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.5665685;-41.0909914
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;275 - L82-TIANGUA-SEDE ;4427;MERC BOM PRECO - TIANGUA;21 dias Boleto;-;2; R$ 4.131,70 ; R$ 2.065,85 ;42,38%; R$ 27.250,78 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.775,16 ;-3.7272489;-40.9922744
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;151 - L82-SGA-CROATA ;4444;MERCADINHO O FLAVIO;A vista  + 10 dias;-;1; R$ 132,80 ; R$ 132,80 ;46,43%; R$ 1.265,33 ;MÍNIMO (R$ 130 À R$ 150); R$ 68,92 ;-3.6772658;-39.1196174
